,SPY,DBC,GLD,QQQ,EFA,VNQ,TLT,IEF,EEM
2018-01-31,0.6414974070050192,0.09846445985985716,0.2600381331351236,,,,,,
2018-02-28,,,0.4448704784111188,0.4335379063262968,0.11409523887786681,,,,
2018-03-29,0.1566306196251811,0.20219777369564504,0.21396420753724532,,0.4272073991419286,,,,
2018-04-30,0.24627299196041227,,0.24922101115564346,,0.5045059968839444,,,,
2018-05-31,0.07395885760549512,0.27117401810865316,0.6129350698506306,0.014416388332152181,0.02751566610306885,,,,
2018-06-29,0.30169063545078834,,,,0.1837989824167497,0.08022794305695197,0.4342824390755099,,
2018-07-31,0.7487979543449602,,,,0.1789700614267524,0.0722319842282874,,,
2018-08-31,0.025406059564041777,,,0.18080345106833884,0.036290812653298025,0.038632752322188234,,0.7188669243921332,
2018-09-28,0.49816009617462903,0.06225531164508614,,,,,,0.43958459218028484,
2018-10-31,0.07383039630133441,0.013782728565261216,,,,,,0.9123868751334043,
2018-11-30,0.12004645814400065,,,,,,,0.8799535418559994,
2018-12-31,0.012372635412215975,,0.032768114047170144,0.039795949454815155,,,,0.9150633010857987,
2019-01-31,0.34228761815278613,,0.06109510787506476,,,,,0.5966172739721491,
2019-02-28,0.28824671358134185,,,,,0.016249363463386304,,0.6955039229552719,
2019-03-29,0.3285728145849856,,,,,,,0.6714271854150143,
2019-04-30,0.17017878344673626,,0.013847197663171556,,,,,0.8159740188900922,
2019-05-31,0.2367546662447529,,,,,,,0.7632453337552473,
2019-06-28,0.05672565011175421,,,,,,,0.91549436257195,0.02777998731629573
2019-07-31,0.5312100722927348,,,,,,0.2068878352526418,,0.25493771556722716
2019-08-30,,,,0.12358365007674722,,0.03184828692537512,,0.8445680629978777,
2019-09-30,0.8822507244702696,,,,,0.10652081031433709,0.01122846521539322,,
2019-10-31,0.12218276008192468,,,,,,,0.8778172399180753,
2019-11-29,0.15751759221750306,,,,,,,0.842482407782497,
2019-12-31,0.7433174507308108,,0.20212635635697698,,0.025301801424967036,0.011108110174578896,0.01814628131266613,,
2020-01-31,0.11306716019822509,,,,,0.01857447341620834,,0.8683583663855665,
2020-02-28,0.035683584714988406,,0.03543229068103763,,,,,0.9288841246039738,
2020-03-31,,,,0.11311577677385064,,,,0.8868842232261495,
2020-04-30,,,0.016522959628206983,,,,,0.9355768059247587,0.04156965819649088
2020-05-29,0.03652275491152698,,,,,,,0.9634772450884731,
2020-06-30,0.1136607047147309,,,,,,,0.8863392952852691,
2020-07-31,0.048878364957204705,,0.021831040377102904,,,,,0.9285755056442638,
2020-08-31,0.10683080771025404,,,,,,,0.893169192289746,
2020-09-30,0.034532489751778646,,,,,,,0.9654675102482213,
2020-10-30,,,,0.021529591184557658,,,,0.9684151460128227,
2020-11-30,0.4782228932398417,,0.059290825785794754,,0.06346890471912653,,0.39901737625523714,,
2020-12-31,0.3914620329048958,0.28440349946592913,,0.13385111282050552,0.19028335480866967,,,,
2021-01-29,,0.307027220349324,,0.14642758700707062,0.42340948226179725,0.11642415807503927,,,
2021-02-26,0.11912449477569391,0.12010269224536066,,,0.5323726975538929,0.22840011542505248,,,
2021-03-31,0.13742837340849282,0.019385587745991018,,,0.8431860388455162,,,,
