,SPY,EEM,DBC,GLD,IEF,TLT,VNQ,QQQ,EFA
2018-01-31,1.0,,,,,,,,
2018-02-28,1.0,,,,,,,,
2018-03-29,,0.04029388802048944,0.4895523677284077,0.4701537442511029,,,,,
2018-04-30,,,0.13010294022762173,,0.8698970597723782,,,,
2018-05-31,,,0.526458924558472,,,0.47354107544152807,,,
2018-06-29,,,0.29050116746129956,,,,0.5413010786785837,0.16819775386011676,
2018-07-31,0.8972991026854864,,,,,,0.10270089731451357,,
2018-08-31,0.475036217785587,,,,,,0.3137369754889899,0.21122680672542316,
2018-09-28,0.8502691382099237,,0.14973086179007636,,,,,,
2018-10-31,,,0.1412673973696657,0.018097622189076783,0.8406349804412576,,,,
2018-11-30,,,,0.14195434098258003,0.85804565901742,,,,
2018-12-31,,,,0.026604014316466182,0.9733959856835339,,,,
2019-01-31,,0.22897385284917401,,0.27259974601159565,,0.4984264011392304,,,
2019-02-28,,,,0.6412064626848841,,,,0.3587935373151158,
2019-03-29,0.6664029074502907,,,,,,0.33359709254970926,,
2019-04-30,0.7215324828840122,,,,,,,0.05707037677696387,0.22139714033902402
2019-05-31,,,,,1.0,,,,
2019-06-28,,,,,1.0,,,,
2019-07-31,,,,,1.0,,,,
2019-08-30,,,,0.25061201161262564,,0.4224082050852969,,0.3269797833020774,
2019-09-30,,,,0.10690106901320306,,,0.8930989309867968,,
2019-10-31,,0.20925480719615014,,,,,0.7091307037785899,0.08161448902525989,
2019-11-29,1.0,,,,,,,,
2019-12-31,0.9683316580912328,0.031668341908767196,,,,,,,
2020-01-31,0.6156707189814284,,,0.3843292810185715,,,,,
2020-02-28,,,,0.031914659936092105,0.9680853400639079,,,,
2020-03-31,,,,0.0255127745250177,0.9744872254749822,,,,
2020-04-30,,,,0.04202659615628128,0.9579734038437188,,,,
2020-05-29,,,,,,0.5846403717736213,,0.4153596282263788,
2020-06-30,,0.3113970555708863,,,,,,0.6886029444291137,
2020-07-31,,,0.8386621956145517,,,,,0.16133780438544837,
2020-08-31,,,0.7909865441595249,,,,,0.209013455840475,
2020-09-30,0.6137145529875311,0.38628544701246886,,,,,,,
2020-10-30,0.15903001053934573,0.8409699894606543,,,,,,,
2020-11-30,,0.581308726414614,,,,,0.4186912735853861,,
2020-12-31,,,0.4660067163048589,,,,,,0.5339932836951411
2021-01-29,,,0.3955581914132217,,,,,,0.6044418085867783
2021-02-26,,0.1599870339973831,0.6547051935919154,,,,,0.18530777241070154,
2021-03-31,0.44946932960041686,,0.11221585625468977,,,,0.43831481414489337,,
2021-04-30,0.3468137651191241,,0.3205124789072378,,,,0.3326737559736382,,
2021-05-28,,,0.2237226870836648,0.5929899240951125,,,0.18328738882122259,,
2021-06-30,,,0.3349695513983179,,,,0.1858070099441186,0.47922343865756356,
2021-07-30,,,,,,0.3820074597071834,0.1699395339790933,0.4480530063137232,
