,SPY,DBC,GLD,QQQ,EFA,IEF,VNQ,EEM,TLT
2018-01-31,0.6414974070050192,0.09846445985985716,0.2600381331351236,,,,,,
2018-02-28,,,0.4448704784111187,0.43353790632629746,0.11409523887786613,,,,
2018-03-29,0.15663061962518093,0.20219777369564493,0.21396420753724535,,0.4272073991419289,,,,
2018-04-30,,,,,0.0537830704448949,0.9325314572967652,,,
2018-05-31,0.18426342493628525,0.01737902884441094,,,,0.7983575462193038,,,
2018-06-29,0.12012123687912954,,,,,0.8798787631208704,,,
2018-07-31,0.15757910703668734,,,,,0.8227285672427247,0.019692325720587836,,
2018-08-31,0.04112292386211582,,,0.06714533058983138,,0.8735598795874759,0.018171865960576756,,
2018-09-28,0.8919558378579656,0.10804416214203436,,,,,,,
2018-10-31,0.06474901182602216,0.020304706553221637,0.08407410597612741,,,0.8308721756446287,,,
2018-11-30,0.02355560564434033,,0.023527135046876282,,,0.9221321453957314,0.03078511391305188,,
2018-12-31,,,,,,0.9172922266328645,,0.07551088995457102,
2019-01-31,,,,,0.29117189151931583,0.7026680767548682,,,
2019-02-28,,0.3200707504449021,,,,,0.16392226663960907,0.11300724142500747,0.40299974149048134
2019-03-29,0.20334900599546285,0.2284911243275836,,,0.3326429348799965,,0.23551693479695698,,
2019-04-30,0.19753982231944442,0.10210711656728692,,,0.2825698906352862,,,,0.40947315606405343
2019-05-31,0.2367546662447526,,,,,0.7632453337552473,,,
2019-06-28,,,,0.06271933553240047,0.046562603795022355,0.8907180606725772,,,
2019-07-31,,,,0.02593892889774389,,0.9402963190952532,0.02843598113308406,,
2019-08-30,,,,0.12358365007674672,,0.8445680629978781,0.03184828692537509,,
2019-09-30,0.2950020761911148,,,,,0.6873053467826117,0.0176925770262736,,
2019-10-31,0.08778552555230873,,0.37110409478975365,,0.4052323758781305,,0.1358780037798072,,
2019-11-29,0.7347539559022152,0.02992329722438687,,,0.21055017905912093,,0.02477256781427696,,
2019-12-31,0.46943179952380176,0.11617854628705587,,,0.05087631308263001,,0.1625683347421812,0.20094500636433105,
2020-01-31,0.12709051150601267,,,,0.047993217296749546,0.8249162711972379,,,
2020-02-28,,,0.047444550376148295,,,0.8870970177119439,,0.056212451843784234,
2020-03-31,,,,0.11311577677385064,,0.8868842232261495,,,
2020-04-30,,,0.016522959628206983,,,0.9355768059247588,,0.041569658196490854,
2020-05-29,0.024736327093945416,,,,,0.9752636729060545,,,
2020-06-30,,0.40464205441551376,,0.24358157171471168,0.24450279285302914,,0.09256249568851492,0.014711085328230502,
2020-07-31,0.5271066724500159,,0.4728933275499841,,,,,,
2020-08-31,0.7385309188081771,0.2614690811918229,,,,,,,
2020-09-30,0.29911925599755845,0.06503025878473297,0.45859979122606553,,0.03617484274782084,,,0.14107585124382208,
2020-10-30,0.14975969599220862,0.02283364839731243,,,0.05366685917156497,0.773739796438914,,,
2020-11-30,,0.5894347925139005,,0.1807672159950254,,,0.14999204850368,0.07980594298739413,
2020-12-31,0.3914620329048955,0.28440349946592935,,0.13385111282050563,0.19028335480866954,,,,
2021-01-29,,0.30702722034932417,,0.14642758700707134,0.42340948226179764,,0.11642415807503922,,
2021-02-26,0.11912449477569383,0.12010269224536001,,,0.532372697553894,,0.22840011542505212,,
2021-03-31,0.13742837340849243,0.019385587745991334,,,0.8431860388455161,,,,
2021-04-30,0.6255971935993181,0.16161844197372682,,,,,0.21278436442695509,,
2021-05-28,0.35036582625027624,0.13302743014427873,0.4545716711078508,,,,0.06203507249759426,,
2021-06-30,0.5389714389212051,,,,0.02708680658002261,,0.09852483240713986,,0.3354169220916325
2021-07-30,0.20368353773477907,,,,,0.7924051804379352,,,
2021-08-31,,,,0.025571239249736595,,0.9744287607502634,,,
2021-09-30,0.15407971418000885,,,,,0.8459202858199912,,,
2021-10-29,0.19234443521795505,0.12146806101799147,0.42329092290976456,0.12790212701247286,0.1349944538418161,,,,
2021-11-30,0.347925218008818,,,,,0.6475381818358488,,,
2021-12-31,,,0.18997588412015748,,0.476851367556558,,,,0.3331727483232845
2022-01-31,,0.08249061249134348,,,,0.9109694958252775,,,
2022-02-28,,0.23629451651217132,,,0.2720712485339771,0.4797600805864631,,0.011874154367388439,
2022-03-31,0.134717452932411,,0.225312998721307,,0.08669534053864249,0.5532742078076397,,,
2022-04-29,,,0.24375542544486842,,0.24969559667651461,0.475985832022019,0.030563145856597973,,
2022-05-31,0.18127203231759662,,0.17211910417829812,,,0.6466088635041053,,,
2022-06-30,,0.04080578263325503,0.07959261184632226,,,0.7707196197933663,,0.10888198572705632,
2022-07-29,0.3197390040218019,,,,,0.6802609959781981,,,
2022-08-31,0.4128970244453826,,,,,0.5273716636504867,,0.059731311904130606,
2022-09-30,0.5299650511385218,0.03709270244850293,0.17312550961601683,,,0.2598167367969586,,,
2022-10-31,0.17240814365467272,0.04147812331716745,,,0.025849765743771853,0.760263967284388,,,
2022-11-30,0.6302291627853926,0.0714252430062021,0.2983455942084053,,,,,,
2022-12-30,,0.1271813850697074,0.35434776336470697,,,,0.16800406718300456,0.35046678438258116,
2023-01-31,,,0.4117748168030196,0.3466161235539484,,,,,0.24160905964303203
2023-02-28,0.6216963075015017,,0.14010733033020412,,0.14127005584692848,,0.013511979376974466,0.08341432694439121,
2023-03-31,0.5883296001298264,,0.2000799745069931,,0.051822647713692195,,,,0.15976777764948835
2023-04-28,0.21928532514931506,,,,,0.7807146748506849,,,
2023-05-31,0.284104418421794,,,,,0.7144016769293599,,,
2023-06-30,0.4947707921678256,,,,,0.37903696240461343,0.0464270680472517,0.07976517738030917,
2023-07-31,0.9277682686809945,0.07223173131900552,,,,,,,
2023-08-31,0.7112542931511584,0.1871265848016147,,,,,,0.10161912204722694,
2023-09-29,0.21171960469965156,0.22733669775026666,0.0865907909445248,,,0.4743529066055569,,,
2023-10-31,0.04275941033264642,0.12464362870662846,0.11853958380828823,,0.40554016640751733,0.3085172107449195,,,
2023-11-30,0.6702548206827702,,0.13740169173874528,,0.041071143919556165,0.1512723436589284,,,
2023-12-29,0.8638837223072445,,,,,,,,0.13068139941275514
