trial_id,date,name,engine,window,sharpe,cagr,max_dd,n_trials_represented,source,notes
s3_A0_dev,2026-07-02,study3_rotA_top3_63d_invvol_baseline,daily_ledger_v1,2005-01-31..2017-12-29,0.848,0.1112,-0.2038,1,research/droplets/study3_no_trade_bands,10bps shown; @20bps Sharpe=0.773 CAGR=10.01%; TO=10.03x drag=100.3bps/yr
s3_A1_dev,2026-07-02,study3_rotA_rank_hysteresis_m1,daily_ledger_v1,2005-01-31..2017-12-29,0.885,0.1188,-0.2038,1,research/droplets/study3_no_trade_bands,10bps shown; @20bps Sharpe=0.829 CAGR=11.02%; TO=7.72x (-23%) drag=77.2bps/yr; qualified on dev; REFUTED on validation
s3_A2_dev,2026-07-02,study3_rotA_rank_hysteresis_m2,daily_ledger_v1,2005-01-31..2017-12-29,0.769,0.1069,-0.2563,1,research/droplets/study3_no_trade_bands,10bps shown; @20bps Sharpe=0.725; TO=6.31x; fails decision rule (Sharpe below baseline both levels)
s3_A3_dev,2026-07-02,study3_rotA_posband_5pct,daily_ledger_v1,2005-01-31..2017-12-29,0.840,0.1072,-0.2031,1,research/droplets/study3_no_trade_bands,10bps shown; @20bps Sharpe=0.767; TO=9.56x (-4.7% only); fails: rotation churn is membership swaps not weight tweaks
s3_A4_dev,2026-07-02,study3_rotA_hyst_m2_plus_posband_5pct,daily_ledger_v1,2005-01-31..2017-12-29,0.781,0.1066,-0.2484,1,research/droplets/study3_no_trade_bands,10bps shown; @20bps Sharpe=0.739; TO=5.90x; fails decision rule
s3_B0_dev,2026-07-02,study3_two_sleeve_baseline,daily_ledger_v1,2007-01-31..2017-12-29,0.801,0.0661,-0.1020,1,research/droplets/study3_no_trade_bands,10bps shown; @20bps Sharpe=0.748 CAGR=6.14%; TO=4.46x drag=44.6bps/yr
s3_B1_dev,2026-07-02,study3_two_sleeve_posband_2pct,daily_ledger_v1,2007-01-31..2017-12-29,0.792,0.0647,-0.0966,1,research/droplets/study3_no_trade_bands,10bps shown; @20bps Sharpe=0.740; TO=4.29x (-3.8% only); fails: loses more gross than cost saved
s3_B2_dev,2026-07-02,study3_two_sleeve_posband_5pct,daily_ledger_v1,2007-01-31..2017-12-29,0.726,0.0560,-0.1124,1,research/droplets/study3_no_trade_bands,10bps shown; @20bps Sharpe=0.678; TO=3.75x; fails decision rule
s3_B3_dev,2026-07-02,study3_two_sleeve_posband_10pct,daily_ledger_v1,2007-01-31..2017-12-29,0.735,0.0534,-0.1313,1,research/droplets/study3_no_trade_bands,10bps shown; @20bps Sharpe=0.691; TO=3.28x; fails decision rule
s3_B4_dev,2026-07-02,study3_two_sleeve_skip_halfTO_lt_10pct,daily_ledger_v1,2007-01-31..2017-12-29,0.735,0.0607,-0.1307,1,research/droplets/study3_no_trade_bands,10bps shown; @20bps Sharpe=0.686; TO=4.13x; fails decision rule; rule B result = do not band (null)
s3_A0_val,2026-07-02,study3_rotA_baseline_VALIDATION,daily_ledger_v1,2018-01-31..2026-07-01,1.018,0.1803,-0.1686,1,research/droplets/study3_no_trade_bands,validation reference for the single look; @20bps Sharpe=0.963 CAGR=16.88%; TO=9.79x drag=97.9bps/yr
s3_A1_val,2026-07-02,study3_rotA_rank_hysteresis_m1_VALIDATION,daily_ledger_v1,2018-01-31..2026-07-01,0.897,0.1674,-0.2441,1,research/droplets/study3_no_trade_bands,THE single validation look; @20bps Sharpe=0.853 CAGR=15.76%; TO=8.43x; REFUTED: worse than baseline at both cost levels despite 13.6-27.2bps/yr cost saving; verdict DO NOT ADOPT
